BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
5033,13,"NATURE'S OPTIONS",NATOPTIONS,,,"I  ",8330
1687,13,"COUNTRY DAIRY",CNTRYDAIRY,,,"I  ",8330
810,13,BIO-PAC,BIOPAC,,,"I  ",8330
5439,13,"ORGANIC ROOT",ORGROOT,,,"I  ",8330
5519,13,PANASONIC,PANASONIC,,,"I  ",8330
5010,13,"NATURE'S BENEFIT",NATBENEFIT,,,"I  ",8330
3666,13,"JENI'S SPLENDID ICE CREAMS",JENI,,,"I  ",8330
7052,13,SWINGLINE,SWINGLINE,,,"I  ",8330
6968,13,"SUNRISE BRAND",SUNRISE,,,"I  ",8330
5359,13,"ONE NATURAL EXPERIENCE",ONENATEXPR,,,"I  ",8330
6419,13,SEASON'S,SEASON,,,"I  ",8330
2156,13,"EARTH HENNA",EARTHHENNA,,,"I  ",8330
6522,13,SIDRAL,SIDRAL,,,"I  ",8330
3197,13,"HAPPY TIMES",HAPPYTIMES,,,"I  ",8330
5399,13,"ORCHARD NATURALS",ORCHARDNAT,,,"I  ",8330
1056,13,BRONCHIPRET,BRONCHIPRT,,,"I  ",8330
6806,13,"SPRING VALLEY",SPRINGVAL,,,"I  ",8330
1813,13,"DAN PASTORINI'S QUALITY FOOD",PASTONRINI,,,"I  ",8330
7847,13,"WHEY GOURMET",WHEYGRMT,,,"I  ",8330
5887,13,PROMAX,PROMAX,,,"I  ",8330
5277,13,OBAO,OBAO,,,"I  ",8330
4076,13,"LAS DOSCIENTAS",DOSCIENTAS,,,"I  ",8330
7868,13,"WHOLE KIDS",WHLKIDS,,,"I  ",8330
6501,13,SHIRA,SHIRA,,,"I  ",8330
5279,13,OCEAN,OCEAN,,,"I  ",8330
2076,13,"DR. SHEN'S",DRSHEN,,,"I  ",8330
444,13,ATTITUDE,ATTITUDE,,,"I  ",8330
4421,13,"MANE N'TAIL",MANENTAIL,,,"I  ",8330
2585,13,"FOOD FOR LIFE",FOOD4LIFE,,,"I  ",8330
6602,13,SKYBOUND,SKYBOUND,,,"I  ",8330
2299,13,"EMERALD VALLEY KITCHEN",EMRLDVAL,,,"I  ",8330
4972,13,"NATURAL SPA",NATRLSPA,,,"I  ",8330
4360,13,"MAGIC AMERICAN",MAGICAMER,,,"I  ",8330
5481,13,"OXYLIFE PRODUCTS",OXYLIFE,,,"I  ",8330
1668,13,"CORNELIA BROOM",CORNELIA,,,"I  ",8330
4156,13,"LIDDELL HOMEOPATHIC",LIDDELL,,,"I  ",8330
2097,13,DRAMAMINE,DRAMAMINE,,,"I  ",8330
648,13,"BEAR FRUIT BAR",BEARFRUIT,,,"I  ",8330
7990,13,XIOMEGA3,XIOMEGA3,,,"I  ",8330
4032,13,"LA TORTILLA FACTORY",LATORTILLA,,,"I  ",8330
5868,13,"PRO BIOLOG",PROBIOL,,,"I  ",8330
2505,13,FIRECRACKER,FIRECRACKR,,,"I  ",8330
7418,13,"TRINITY SPRINGS",TRINTYSPRG,,,"I  ",8330
6072,13,REGAL,REGAL,,,"I  ",8330
7969,13,"WOUNDED WARRIOR",WOUNDWARR,,,"I  ",8330
5889,13,"PROMETHEUS SPRINGS",PROMETHEUS,,,"I  ",8330
5971,13,"QUE PASA",QUEPASA,,,"I  ",8330
5826,13,PREMIER,PREMIER,,,"I  ",8330
1119,13,BUSTELO,BUSTELO,,,"I  ",8330
6236,13,"ROYAL KING",ROYALKING,,,"I  ",8330
5155,13,NOCCIOLATA,NOCCIOLATA,,,"I  ",8330
6787,13,"SPICY NOTHINGS",SPICYNTHNG,,,"I  ",8330
1260,13,CARGILL,CARGILL,,,"I  ",8330
6747,13,SOVENA,SOVENA,,,"I  ",8330
4400,13,MALHER,MALHER,,,"I  ",8330
526,13,BABYSPA,BABYSPA,,,"I  ",8330
524,13,"BABY'S ONLY ESSENTIALS",BABYESNTLS,,,"I  ",8330
383,13,ARMANINO,ARMANINO,,,"I  ",8330
1973,13,DISNEY,DISNEY,,,"I  ",8330
6377,13,SCA,SCA,,,"I  ",8330
3769,13,KADOYA,KADOYA,,,"I  ",8330
6745,13,"SOUTHERN RICE",SOUTHRNRIC,,,"I  ",8330
1239,13,CAPRETTA,CAPRETTA,,,"I  ",8330
97,13,ADRO,ADRO,,,"I  ",8330
3971,13,"KULA! AFRICAN SPICES",KULA,,,"I  ",8330
1201,13,CAMBRIDGE,CAMBRIDGE,,,"I  ",8330
6623,13,"SMART GIRLS WHO SURF",SMARTGIRLS,,,"I  ",8330
6825,13,"ST CLAIRE'S",STCLAIRE,,,"I  ",8330
